FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2020,2024
A,Annual,AFG,Afghanistan,ITU_GCI_TECH_NAT_CCC,National CERT/CIRT/ CSIRT - TS1 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.2407407407407407,0.3755111177170036
A,Annual,AFG,Afghanistan,ITU_GCI_TECH_NTNL_FRMW,National framework for implementation of cybersecurity standards - TS3 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.0
A,Annual,AFG,Afghanistan,ITU_GCI_TECH_SCORE,Technical Score - TS (ITU GCI),0_TO_20,0-20 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,1.4622770919067216,3.294138908524336
A,Annual,AFG,Afghanistan,ITU_GCI_TECH_SECT_CCC,Sectorial CERT/CIRT/ CSIRT - TS2 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.0
A,Annual,AGO,Angola,ITU_GCI_CDS_CYB_PROF_TRAIN,Training for Cybersecurity Professionals - CDS2 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.1342310093652445
A,Annual,AGO,Angola,ITU_GCI_CDS_GOV_ACAD,Educational programs or academic curricula in cybersecurity - CDS3 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.0
A,Annual,AGO,Angola,ITU_GCI_CDS_GOV_MCNSM,Government Incentive Mechanisms - CDS6 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.0
A,Annual,AGO,Angola,ITU_GCI_CDS_NAT_CYB_IND,National cybersecurity industry - CDS5 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.5090322580645161
A,Annual,AGO,Angola,ITU_GCI_CDS_PUB_CYB_AWE,Public cybersecurity awareness campaigns - CDS1 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.2553225806451613
A,Annual,AGO,Angola,ITU_GCI_CDS_RND_PROG,Research and development programs on cybersecurity -CDS4 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.0
A,Annual,AGO,Angola,ITU_GCI_CDS_SCORE,Capacity Development Score - CDS (ITU GCI),0_TO_20,0-20 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,3.067419518646571
A,Annual,AGO,Angola,ITU_GCI_COOP_BLTRL_AGR,Bilateral agreements on cybersecurity cooperation with other countries - CS1 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,1.0
A,Annual,AGO,Angola,ITU_GCI_COOP_CYB_MULT_AGR,Cybersecurity multilateral agreements -CS3 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.5,0.5
A,Annual,AGO,Angola,ITU_GCI_COOP_GOV_INT_PART,Government participation in international mechanisms related to cybersecurity activities -CS2 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,1.0,1.0
A,Annual,AGO,Angola,ITU_GCI_COOP_INTER_AGNCY,Inter-agency - CS5 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.0
A,Annual,AGO,Angola,ITU_GCI_COOP_PPPS,Partnerships with the private sector - CS4 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,1.0
A,Annual,AGO,Angola,ITU_GCI_COOP_SCORE,Cooperative Score - CS (ITU GCI),0_TO_20,0-20 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,6.296296296296297,15.3302172481896
A,Annual,AGO,Angola,ITU_GCI_GCI_OVRL_SCRE,Global Cybersecurity Index - Overall Score (ITU GCI),0_TO_100,0-100 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,12.994070567139236,39.63588517512337
A,Annual,AGO,Angola,ITU_GCI_LEGL_CBRCR_REG,Cybercrime Regulation - LS2 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.3477464978448276,0.702
A,Annual,AGO,Angola,ITU_GCI_LEGL_CBRCR_SUBS,Cybercrime substantive law - LS1 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.31974853515625,0.6622857142857143
A,Annual,AGO,Angola,ITU_GCI_LEGL_SCRE,Legal Score - LS (ITU GCI),0_TO_20,0-20 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,6.697774270842938,13.666458775510204
A,Annual,AGO,Angola,ITU_GCI_ORG_CYB_MET,Cybersecurity metrics - OS3 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.3029032258064516
A,Annual,AGO,Angola,ITU_GCI_ORG_NTNL_STR,National Cybersecurity Strategy - OS1 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.2654838709677419
A,Annual,AGO,Angola,ITU_GCI_ORG_RSP_AGNC,Responsible Agency - OS2 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.325483870967742
A,Annual,AGO,Angola,ITU_GCI_ORG_SCORE,Organizational Score - OS (ITU GCI),0_TO_20,0-20 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,5.7956493236212285
A,Annual,AGO,Angola,ITU_GCI_TECH_CHLD_PROT,Child Online Protection - TS4 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,
A,Annual,AGO,Angola,ITU_GCI_TECH_NAT_CCC,National CERT/CIRT/ CSIRT - TS1 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.0
